Name,Description,Category,Card,Date,Status,OCost,Cost,Savings
Trader Vics,,Food,A.S 1008,5/1/2026,Procured,38,38,0
World Wrapps,,Food,A.S 1008,4/30/2026,Procured,33,33,0
Harrys Hoffbrau,,Food,A.S 1008,4/30/2026,Procured,25,25,0
Rabbit Rabbit Cream,,Food,A.S 1008,4/30/2026,Procured,7,7,0
Sigonas,Orange Juice,Food,HILTON HONORS SURPASS,4/30/2026,Procured,5,5,0
Hilton Garden Inn,Hilton Garden Inn,Travel,HILTON HONORS SURPASS,4/29/2026,Procured,545,545,0
Auntie Annes,,Food,A.S 1008,4/28/2026,Procured,10,10,0
Tendon Kohaku,,Food,A.S 1008,4/28/2026,Procured,41,41,0
Brodard Express,,Food,A.S 1008,4/28/2026,Procured,10,10,0
Hot C Pot,,Food,A.S 1008,4/27/2026,Procured,27,27,0
Smoke Queen,Smoke Queen,Food,A.S 1008,4/25/2026,Procured,,37,
Costco,Costco,Food,C.F 3882,4/25/2026,Procured,,127,
Junbi,Junbi,Food,A.S 1008,4/25/2026,Procured,,9,
Phoholic,Phoholic,Food,A.S 1008,4/24/2026,Procured,,18,
Cha Redefine,Cha Redefine,Food,A.S 1008,4/24/2026,Procured,,8,
Halal Guys,Halal Guys,Food,A.S 1008,4/23/2026,Procured,,23,
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,4/22/2026,Procured,,23,
Flame Broiler,Flame Broiler,Food,A.S 1008,4/21/2026,Procured,,15,
TK Burger,TK Burger,Food,A.S 1008,4/20/2026,Procured,,15,
Dada Shabu,Dada Shabu,Food,A.S 1008,4/19/2026,Procured,,49,
Pokemon Cards,Umbreon/Charizard/Reshiram/Etc,Fun,A.S 1008,4/19/2026,Procured,612,516,96
Pokemon Box,Mega Charizard X ex UPC,Fun,A.S 1008,4/19/2026,Procured,200,140,60
14 AWG Cable,AWG Cable for Appliances,Home,A.S 1008,4/18/2026,Procured,8,8,0
Galpao Gaucho,Galpao Gaucho,Food,A.S 1008,4/18/2026,Procured,,100,
Display Case,LANSCOERY Case,Fun,A.S 1008,4/17/2026,Procured,55,46,9
Capital Noodle,,Food,A.S 1008,4/17/2026,Procured,21,21,0
Ikes Love and Sandwiches,Ikes Love and Sandwiches,Food,A.S 1008,4/16/2026,Procured,,31,
